baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	organism
95338.1944689991	-3.73922273077229	0.467333713364874	-8.00118335963677	1.23229123127237e-15	4.89219618815132e-13	Sharpea_azabuensis_DSM-20406
543.116511042816	1.69421414861763	0.230395057717176	7.35351775947113	1.93057342359422e-13	3.83218824583452e-11	Methanomassiliicoccales_archaeon_RumEn_M2
45510.0456624779	-1.79543959099037	0.284349754161471	-6.31419427910181	2.71572603865864e-10	3.19642954765586e-08	Lachnospiraceae_bacterium_NK3A20
31685.0759566716	-4.87032970424274	0.774571849286159	-6.28777008708903	3.22058392710918e-10	3.19642954765586e-08	Megasphaera_elsdenii_J1
26448.1380999229	-4.72453224299782	0.75863447899801	-6.22767930247238	4.73394823932288e-10	3.75875490202237e-08	Megasphaera_elsdenii_DSM_20460
26345.9459767722	-4.63063162184744	0.768667236165313	-6.02423442027852	1.69911951723885e-09	1.1242507472397e-07	Megasphaera_elsdenii_YE34
2630.47477035549	1.84349147110666	0.326553550348229	5.64529605983706	1.64897236490242e-08	9.35202898380373e-07	Methanogenic_archaeon_ISO4-G1
20466.775431064	-1.7852485715306	0.339802528045431	-5.2537824889046	1.490068444233e-07	7.39446465450624e-06	Olsenella_sp._KH2P3
2051.55453421671	0.631878718673119	0.121347568031807	5.20718073647339	1.9173132581042e-07	8.4574818163041e-06	Clostridium_paraputrificum_AGR2156
6582.78340058695	-0.970420397922739	0.22530006837456	-4.30723525706801	1.65307766147373e-05	0.000656271831605072	Dorea_longicatena_AGR2136
13018.9293963461	-1.34868835037793	0.32095536441019	-4.2021056505984	2.64443656003269e-05	0.000954401194848161	Oribacterium_sp._WCC10
494.448494329275	0.954499994122292	0.244093390772082	3.91038852425767	9.21477806520762e-05	0.00270520472635855	Lactococcus_lactis_subsp.
15607.5894578085	-1.29569560252777	0.331421316247143	-3.90951196863137	9.2482773467594e-05	0.00270520472635855	Lachnospiraceae_bacterium_JC7
5783.72531323732	-1.21125774183702	0.310419010261913	-3.90200890343358	9.53976477809059e-05	0.00270520472635855	Olsenella_umbonata_WCP15
1689.81797453395	-0.467528367318696	0.121588491302296	-3.84516957411961	0.00012046909961051	0.00306608805757507	Eubacterium_pyruvativorans_i6
7381.72164900019	-1.1896242751646	0.309960795718355	-3.83798303397553	0.000124049050684567	0.00306608805757507	Olsenella_umbonata_KHGC19
5832.04327044965	-1.18584690072257	0.310104813445451	-3.82401965176578	0.000131293443271476	0.00306608805757507	Coriobacteriaceae_bacterium_KH1P3
5139.23600193179	-0.266225332206007	0.0706328003994117	-3.76914593079371	0.000163807099361642	0.00361285658036511	Clostridium_celerecrescens_18A
15409.3971571858	1.05595313281415	0.286273707410257	3.6886137478943	0.000225479217676185	0.00471132891670765	Ruminococcaceae_bacterium_R-25
20238.0861525873	-2.06905131024062	0.573656688239324	-3.60677623508754	0.000310024791392324	0.00615399210913763	Prevotella_bryantii_KHPX14
617.908714513197	0.582264506617895	0.162411163922374	3.58512612406493	0.000336915345129978	0.00636930438174291	Enterococcus_faecalis_VTM1R91
1973.98591010213	-0.456409292550241	0.129202261682496	-3.53251782597917	0.000411622473999185	0.00742791464443985	Eubacterium_pyruvativorans_KHPC4
43.2595564348041	-1.35936487015327	0.391236635229879	-3.47453369072798	0.000511742096452112	0.00883311357789079	Streptococcus_equinus_pGA-7
559.405489541536	0.557417843772372	0.161810249801025	3.44488587378005	0.00057130054985041	0.00945026326210886	Enterococcus_faecalis_68A
40363.9355986762	1.89706935816387	0.566208936072299	3.35047583551672	0.000806728477795075	0.0128108482273858	Methanobrevibacter_millerae_SM9
