baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	organism
1588842.81347054	-3.88729978464734	0.392491658341849	-9.90415898536526	3.99315467718697e-23	1.62920710829229e-20	Sharpea_azabuensis_DSM-20406
10403.3314605519	0.768048504217357	0.114348427959476	6.71673863753989	1.8583685562444e-11	3.79107185473858e-09	Methanomassiliicoccales_archaeon_RumEn_M2
44618.0936895749	1.53950599155079	0.23278231965281	6.61350051776669	3.75336685961477e-11	5.10457892907609e-09	Methanogenic_archaeon_ISO4-G1
91655.5913978194	1.16186687343325	0.180841390432057	6.42478400911085	1.32056888522185e-10	1.34698026292629e-08	Butyrivibrio_sp._XBB1001
111097.301559623	1.07869360499714	0.173696650552519	6.21021534707711	5.29120407767268e-10	4.31762252738091e-08	Butyrivibrio_sp._INlla14
403582.281939907	-3.68147826847964	0.603862464616535	-6.09655092706822	1.08381431976855e-09	7.36993737442612e-08	Kandleria_vitulina_MC3001
378318.327234371	-3.65147734905913	0.607405860810517	-6.01159386935554	1.83708086657264e-09	1.07075570508805e-07	Kandleria_vitulina_WCC7
389969.972929283	-3.58977432184848	0.602254682802313	-5.96055858817923	2.51377154500223e-09	1.25379968054494e-07	Kandleria_vitulina_DSM
380060.932042707	-3.65296643386029	0.614467431158357	-5.9449309249376	2.76573458943737e-09	1.25379968054494e-07	Kandleria_vitulina_WCE2011
390414.480404853	-3.5816084658391	0.606540022781739	-5.90498290518898	3.5268331942622e-09	1.43894794325898e-07	Kandleria_vitulina_KH4T7
939521.560475578	-3.84791372479978	0.690440567303791	-5.57312809678333	2.50205454282403e-08	9.28034775883822e-07	Kandleria_vitulina_S3b
316891.377113234	-4.30308141343259	0.78326103256947	-5.49380249304173	3.93370412583044e-08	1.33745940278235e-06	Megasphaera_elsdenii_J1
29516.45954924	0.677910374130727	0.127091862478653	5.33401872401227	9.60626111137245e-08	3.01488810264612e-06	Butyrivibrio_hungatei_NK4A153
198077.620585423	-3.83667063076735	0.729598935562766	-5.25860228648495	1.45154439140196e-07	4.23021508351429e-06	Megasphaera_elsdenii_YE34
201446.115153407	-3.81849205261971	0.732793249461133	-5.21087231006518	1.87954785988362e-07	5.11237017888345e-06	Megasphaera_elsdenii_DSM_20460
109224.72107074	0.985317958658009	0.194720167271799	5.06017415896453	4.18873703139085e-07	1.06812794300467e-05	Lachnospiraceae_bacterium_G41
27713.1191172955	0.579553837262408	0.120573022225217	4.80666260633216	1.53470665425874e-06	3.68329597022098e-05	Candidatus_Methanomethylophilus_sp._1R26
19570.3872526036	0.381690370215253	0.0887621478662866	4.30014797287511	1.70684102417382e-05	0.000386883965479399	Desulfovibrio_desulfuricans_DSM
82154.9946261222	0.542983879676625	0.127910940442634	4.24501514723944	2.18578655117821e-05	0.000469368901516163	Desulfovibrio_legallii_KHC7
45496.3893745538	0.431836870506405	0.103804631116846	4.16009253017155	3.18118687366505e-05	0.00064896212222767	Synergistes_jonesii_78-1
57845.2627032449	0.416909468948313	0.10465674074045	3.98358926523666	6.78821566870743e-05	0.0013188533299203	Synergistes_Syn_Fa1
37403.7922543995	0.772465239540498	0.197295386326419	3.91527269807758	9.03020843614544e-05	0.00167469320088515	Thermoplasmatales_archaeon_BRNA1
22852.8657580805	-0.610340332455887	0.162462398337529	-3.75680981384907	0.000172093182958084	0.00305278341943036	Lactobacillus_ruminis_WC1T17
108590.807942867	0.443653231536007	0.119159517001542	3.72318756151275	0.000196723266132603	0.00334429552425425	Lachnospiraceae_bacterium_NK4A179
30545.4992004076	0.421462928968053	0.116072815168508	3.63102185775539	0.000282301272090098	0.00460715676051041	Methanomassiliicoccales_archaeon_RumEn_M1
18098.3416984622	0.367317656258322	0.10280123283088	3.5730861016288	0.000352798693340304	0.00553622564934015	Desulfovibrio_desulfuricans_desulfuricans_ATCC_27774
31922.7864505156	0.438859758936237	0.125410744792514	3.49937925703502	0.000466342759064288	0.00704695724808257	Butyrivibrio_sp._AE3003
243877.20400907	1.34179764944121	0.406152435946006	3.30367992577936	0.000954247129135138	0.0139047438816834	Ruminococcaceae_bacterium_R-25
39438.7759998687	0.387551284165461	0.120070446039871	3.22769921281686	0.0012479011542245	0.0175566783077102	Butyrivibrio_sp._AE2005
141218.633234812	0.446020217699196	0.139321063351798	3.20138396139682	0.0013676914966653	0.0186006043546481	Lachnospiraceae_bacterium_AD3010
42224.9676490037	0.891572821103629	0.28662332446267	3.11060805248509	0.00186702574345932	0.0239840788806606	Succinimonas_amylolytica_DSM_2873
62123.7462639422	0.375306003001516	0.120815008036639	3.106451831611	0.0018934715387885	0.0239840788806606	Actinomyces_denticolens_PA
9076.32916497569	-0.155246241767564	0.0500909998311058	-3.09928414866973	0.00193988873299461	0.0239840788806606	Lactobacillus_ruminis_ATCC_27782
115512.594511116	-0.60299720243606	0.196869321124289	-3.06293128351558	0.00219180384208477	0.0263016461050172	Oribacterium_sp._WCC10
62387.2563523851	-0.837537285848782	0.275445184265464	-3.04066773968934	0.00236054163977481	0.0275171711150892	Eubacterium_pyruvativorans_KHPC4
78222.7155684793	0.234968117832114	0.0780630282313804	3.00997954032303	0.00261265288287793	0.0293332717935578	Lachnospiraceae_bacterium_V9D3004
60160.9378137989	0.323153550047207	0.107556300526375	3.00450599793512	0.00266012513814128	0.0293332717935578	Propionibacteriaceae_bacterium_P6A17
1282419.00262911	-1.45620207621438	0.48991259198302	-2.97237119446167	0.00295509174772855	0.0317283535019276	Fibrobacter_succinogenes_subsp._succinogenes_S85
226247.572413548	-1.364556122915	0.461333373271858	-2.95785261152326	0.00309790208999599	0.0324088218645735	Dorea_longicatena_AGR2136
20008.3174825851	-0.56161274092086	0.192181402809262	-2.9223053464661	0.00347450726181716	0.035439974070535	Alysiella_filiformis_DSM_16848
