baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	organism
1588225.23096555	-3.88693296172932	0.391981892148702	-9.91610337003726	3.54319639508886e-23	1.44562412919625e-20	Sharpea_azabuensis_DSM-20406
9989.74553061011	0.772945596318354	0.114296540275709	6.76263336102595	1.35505847544836e-11	2.76431928991465e-09	Methanomassiliicoccales_archaeon_RumEn_M2
44457.9983761833	1.5392155228374	0.23205386768449	6.63300956022065	3.28910497718075e-11	4.47318276896582e-09	Methanogenic_archaeon_ISO4-G1
91358.7733349876	1.16387839157719	0.180701930529699	6.44087414099823	1.18787347709564e-10	1.21163094663755e-08	Butyrivibrio_sp._XBB1001
110775.194245619	1.08177990999851	0.174008472300701	6.2168232138094	5.07320781010735e-10	4.13973757304759e-08	Butyrivibrio_sp._INlla14
403414.932699285	-3.67832544989	0.601783650047178	-6.11237186254833	9.81611190650744e-10	6.67495609642506e-08	Kandleria_vitulina_MC3001
378161.141368078	-3.64836045740365	0.605443934029027	-6.02592618795441	1.68143912392958e-09	9.80038803661814e-08	Kandleria_vitulina_WCC7
389814.638079924	-3.58665462437037	0.600274862228428	-5.97502052818848	2.30061211639397e-09	1.14616543203416e-07	Kandleria_vitulina_DSM
379894.218111516	-3.64965340028587	0.612397361190951	-5.95961647056783	2.52830610007535e-09	1.14616543203416e-07	Kandleria_vitulina_WCE2011
390259.008328377	-3.57848018938741	0.604531117843123	-5.9194309172287	3.23057500446026e-09	1.31807460181979e-07	Kandleria_vitulina_KH4T7
939154.38174504	-3.8445453318577	0.689081440706631	-5.57923215565818	2.41582631008698e-08	8.96051940468625e-07	Kandleria_vitulina_S3b
285588.028487501	-4.16582839084384	0.766959440368603	-5.43161498715204	5.58463119214111e-08	1.89877460532798e-06	Megasphaera_elsdenii_J1
28765.0815069433	0.686443194234386	0.127967836055655	5.36418537182925	8.13153624393625e-08	2.55205137501999e-06	Butyrivibrio_hungatei_NK4A153
169409.051960469	-3.62930227442222	0.699938324096942	-5.18517439247912	2.15812825856321e-07	6.28940235352708e-06	Megasphaera_elsdenii_YE34
174819.640304601	-3.62148217506417	0.706493308722976	-5.12599642537336	2.95968221014661e-07	8.05033561159878e-06	Megasphaera_elsdenii_DSM_20460
108811.471819102	0.984090232965003	0.194887104703897	5.04954001169131	4.4287517302602e-07	1.12933169121635e-05	Lachnospiraceae_bacterium_G41
27162.5006947002	0.575763460156135	0.120648099144266	4.77225471631891	1.82174904315444e-06	4.37219770357066e-05	Candidatus_Methanomethylophilus_sp._1R26
18798.7499145197	0.386787384239787	0.0877418778288147	4.40824146702688	1.04213321465045e-05	0.000236216861987435	Desulfovibrio_desulfuricans_DSM
81723.2664013092	0.543914822562887	0.126473398026067	4.30062630602193	1.70316062331548e-05	0.000365731333848798	Desulfovibrio_legallii_KHC7
44762.6002223665	0.436385592815836	0.10421825085726	4.18722814119691	2.82381945661434e-05	0.000576059169149325	Synergistes_jonesii_78-1
57040.7781617886	0.417300537107661	0.104158327198538	4.00640590465932	6.16496686276185e-05	0.00119776499047945	Synergistes_Syn_Fa1
37131.5064380343	0.775153358625104	0.197181049773435	3.93117573679505	8.45314521035088e-05	0.00156767420264689	Thermoplasmatales_archaeon_BRNA1
22230.3629383783	-0.626412305399925	0.161250853612403	-3.88470691079642	0.000102453407727142	0.00181743436315973	Lactobacillus_ruminis_WC1T17
107931.793774533	0.445525816292583	0.118827792007396	3.74934019025494	0.000177300438610458	0.00301410745637778	Lachnospiraceae_bacterium_NK4A179
29799.720595865	0.4201058530341	0.115941308768317	3.62343549074117	0.000290715734774346	0.00474448079151733	Methanomassiliicoccales_archaeon_RumEn_M1
17405.8489608164	0.372811430767112	0.103339551881246	3.60763545012789	0.00030900023344359	0.00484892674019172	Desulfovibrio_desulfuricans_desulfuricans_ATCC_27774
31067.460482118	0.442847128566114	0.126028788878479	3.51385689338902	0.000441650678805843	0.00667383247973274	Butyrivibrio_sp._AE3003
243282.572082778	1.33862320829999	0.405212370572032	3.30351022208496	0.000954824882847177	0.0139131625786303	Ruminococcaceae_bacterium_R-25
140498.874124937	0.44653107490478	0.138230752337695	3.23033093109349	0.00123647009151234	0.0173958550805875	Lachnospiraceae_bacterium_AD3010
38551.7771699167	0.38748806503638	0.120747298605773	3.20908268350987	0.00133159193012484	0.0181096502496979	Butyrivibrio_sp._AE2005
61732.5491948807	0.376549487142393	0.120038726324101	3.13690005445175	0.00170744320874603	0.0224721557796251	Actinomyces_denticolens_PA
39367.9956567207	0.802526706239049	0.260348320608927	3.08251155360643	0.00205261762282915	0.0261708746910716	Succinimonas_amylolytica_DSM_2873
114987.43809878	-0.60335213937153	0.196753544691983	-3.06653758292423	0.00216553582672281	0.0262409334475326	Oribacterium_sp._WCC10
59563.3652960297	0.3257470149228	0.106327389972419	3.06362278813858	0.00218674445396105	0.0262409334475326	Propionibacteriaceae_bacterium_P6A17
8578.18694295663	-0.156146046374017	0.0511680810853845	-3.0516299040696	0.00227602539188385	0.0265319531396745	Lactobacillus_ruminis_ATCC_27782
62034.2529539479	-0.830970379176274	0.273071720999001	-3.04304809057586	0.00234194903340053	0.026542089045206	Eubacterium_pyruvativorans_KHPC4
77600.2005185517	0.234966021207415	0.0784848864013867	2.99377411347395	0.00275549865339064	0.0303849581238752	Lachnospiraceae_bacterium_V9D3004
1282188.27450743	-1.45815861318725	0.488995500856759	-2.98194689037514	0.00286421681461589	0.0307526436937706	Fibrobacter_succinogenes_subsp._succinogenes_S85
225671.034853913	-1.36685630582752	0.461203004570954	-2.96367606516153	0.00303988105246631	0.0318018325488783	Dorea_longicatena_AGR2136
18551.2613763976	-0.497212153778686	0.169251221422232	-2.93771678337427	0.00330638920401722	0.0337251698809757	Alysiella_filiformis_DSM_16848
1781676.52982463	-1.62792799063082	0.560088347217711	-2.90655572235648	0.00365431806522552	0.0363649212344393	Fibrobacter_succinogenes_HM2
223906.691549585	0.755721542797685	0.261791310181796	2.88673272719744	0.00389264744822852	0.037397059560048	Oscillibacter_ruminantium_GH1
30030.5601507299	-0.364739610856391	0.126763775193475	-2.87731735899867	0.00401072008572653	0.037397059560048	Lachnospiraceae_bacterium_A10
150594.145210449	0.594888247755307	0.206876799898349	2.87556771976177	0.004033016227064	0.037397059560048	Ruminococcus_sp._NK3A76
52006.5456736605	0.379625122350355	0.133814901970841	2.83694205024398	0.00455478781430674	0.0410162972520147	Actinomyces_ruminicola_KPR-7B
186538.332166138	0.729427661946365	0.258109489575986	2.82603969015105	0.00471274242122417	0.0410162972520147	Oscillibacter_sp._PC13
33120.5689511318	0.31821932656696	0.112635508990287	2.82521319803686	0.00472491659520757	0.0410162972520147	Corynebacterium_vitaeruminis_DSM_20294
360721.262671965	0.938275493145256	0.342937991983318	2.73599168094184	0.00621925982567227	0.0528637085182143	Ruminococcaceae_bacterium_P7
75875.4822171725	0.208410244506537	0.0764483740042995	2.72615666743699	0.00640765763031397	0.0533535574115939	Butyrivibrio_sp._VCD2006
85437.3958306504	0.680619903040478	0.256554603249709	2.65292415111344	0.00797978001003055	0.0650897621861593	Selenomonas_bovis_8-14-1
321853.050567083	-1.44278401606988	0.545194837260943	-2.64636404724303	0.00813622027326991	0.0650897621861593	Prevotella_bryantii_KHPX14
174669.481028074	0.549054660613168	0.209536210462681	2.62033306510979	0.00878439260752023	0.0688251543889699	Lachnospiraceae_bacterium_XBB2008
